,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
KAB BERAU,0.43,0.43,0.43,0.43,0.43,0.22,0.45,1.57,1.68,1.68,1.68,1.68,-,1.27,1.27,1.27,1.27,1.27,0.63,1.34,3.99,4.33,4.33,4.33,4.33,-,0.0,0,0,0,0,0,0,1.77,1.77,1.77,1.77,1.77,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB PENAJAM PASER UTARA,0.0,0,0,0,0,0,0.06,1.21,1.21,1.21,1.21,1.21,-,0.0,0,0,0,0,0,0.33,2.05,2.05,2.05,2.05,2.05,-,0.0,0,0,0,0,0,0,4.05,4.05,4.05,4.05,4.05,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA BALIKPAPAN,2.13,0.93,0.93,0.93,0.93,0.42,0.9,1.59,1.59,1.59,1.59,1.59,-,1.68,1.68,1.68,1.68,1.68,0.03,1.72,3.06,3.06,3.06,3.06,3.06,-,0.17,0.17,0.17,0.17,0.17,0.17,0.17,2,2,2,2,2,-,0,0,0,0,0,0,0,0,0,0,0,0,-,9.65,2.36,2.36,2.36,2.36,2.16,2.16,1.62,1.62,1.62,1.62,1.62,-,2024.0
KOTA SAMARINDA,0.94,1.49,1.49,1.45,1.39,1.39,1.6,1.87,1.87,1.87,1.87,1.87,-,3.03,3.03,3.03,3.03,3.03,3.03,3.84,4.02,4.02,4.02,4.02,4.02,-,0.3,0.42,0.42,0.42,0.42,0.42,0.42,0.86,0.86,0.86,0.86,0.86,-,0,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,-,0.77,0.77,0.77,0.55,0.16,0.16,0.16,1.05,1.05,1.05,1.05,1.05,-,2024.0
TANJUNG SELOR,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB NUNUKAN,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA TARAKAN,0.38,0.38,0.38,0.38,0.38,0.38,0.48,0.48,0.48,0.48,0.48,0.48,-,1.18,1.18,1.18,1.18,1.18,1.18,1.52,1.52,1.52,1.52,1.52,1.52,-,0.35,0.35,0.35,0.35,0.35,0.35,0.38,0.38,0.38,0.38,0.38,0.38,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB MINAHASA SELATAN,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0,0,0,0,-,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB MINAHASA UTARA,0.0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.76,2.76,2.76,2.76,-,0.0,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,4.87,4.87,4.87,4.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA MANADO,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,1.75,1.75,1.75,1.75,1.75,1.75,1.75,0,0,0,0,0,-,2024.0
KOTA KOTAMOBAGU,1.05,1.05,1.05,1.05,1.05,1.05,0.97,0.25,-16.54,-16.37,-16.37,-16.37,-,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.71,2.25,2.25,3.54,3.54,3.54,-,3.84,3.84,3.84,3.84,3.84,3.84,3.84,2.04,2.04,2.04,2.04,2.04,-,1.03,1.03,1.03,1.03,1.03,1.03,1.03,-0.87,-27.64,-27.64,-27.64,-27.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
LUWUK,0.17,0.17,0.17,0.17,0.17,0.17,2.69,2.69,2.91,2.91,2.91,2.73,-,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,3.16,3.16,3.16,1.77,-,0.0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,-,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB MOROWALI,0.0,0,0,0,0,0,0,0.12,0.42,0.42,0.42,0.42,-,0.0,0,0,0,0,0,0,0.89,0.89,0.89,0.89,0.89,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0.45,0.45,0.45,0.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB TOLI TOLI,0.0,0,0,0,0,0.19,0.19,0.19,0.19,0.19,0.19,0.19,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0.93,0.93,0.93,0.93,0.93,0.93,0.93,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA PALU,0.58,0.58,0.58,0.58,0.38,0.46,2.97,3.02,5.34,5.21,5.24,5.24,-,1.5,1.5,1.5,1.5,1.5,1.93,5.3,5.44,5.44,4.8,4.8,4.8,-,0.0,0,0,0,0,0,0.22,0.38,0.38,0.38,0.38,0.38,-,0,0,0,0,0,0,3.3,3.3,7.47,7.47,7.47,7.47,-,3.67,3.67,3.67,3.67,1.16,1.16,1.16,1.16,1.16,1.16,1.6,1.6,-,2024.0
BULUKUMBA,0.2,0.2,0.2,0.2,0.2,0.2,0.5,1.61,1.41,1.41,1.41,1.41,-,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.52,0.26,0.26,0.26,0.26,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2.24,2.24,2.24,2.24,2.24,-,0,0,0,0,0,0,0.87,0.87,0.87,0.87,0.87,0.87,-,2024.0
WATAMPONE,0.0,0.09,0.09,0.09,0.32,0.32,0.32,0.38,0.52,0.52,0.52,0.52,-,0.0,0,0,0,1.3,1.3,1.3,1.65,2.46,2.46,2.46,2.46,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,-,2024.0
KAB WAJO,0.0,0,0,0,0,0,2.05,2.05,2.05,2.05,2.05,2.05,-,0.0,0,0,0,0,0,7.14,7.14,7.14,7.14,7.14,7.14,-,0.0,0,0,0,0,0,1.48,1.48,1.48,1.48,1.48,1.48,-,0,0,0,0,0,0,1.27,1.27,1.27,1.27,1.27,1.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB SIDENRENG RAPPANG,0.0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0.26,0.26,0.26,0.26,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB LUWU TIMUR,0.0,0,0,0,0,0,0,0.21,0.24,0.24,0.24,0.24,-,0.0,0,0,0,0,0,0,1.54,1.54,1.54,1.54,1.54,-,0.0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA MAKASSAR,2.08,2.22,2.22,2.22,2.22,2.22,1.41,1.36,1.13,1.01,1.01,1.01,-,2.55,2.55,2.55,2.55,2.55,2.55,0,0,2.23,2.23,2.23,2.23,-,1.31,1.31,1.31,1.31,1.31,1.31,0,0,0.14,0.14,0.14,0.14,-,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,0.69,0.69,0.69,0.69,-,2.55,4.45,4.45,4.45,4.45,4.45,4.45,3.83,3.83,2.19,2.19,2.19,-,2024.0
KOTA PARE PARE,0.51,0.51,0.51,0.51,0.51,0.51,0.38,0.45,1.63,1.63,0.16,0.16,-,1.0,1,1,1,1,1,1,0.74,0.74,0.74,0.74,0.74,-,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,0.03,0.03,0.03,0.03,0.03,-,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,0,0,0,0,-,10.52,10.52,10.52,10.52,10.52,10.52,9.57,9.57,9.57,9.57,0,0,-,2024.0
KOTA PALOPO,0.0,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,-,0.0,0,0,0,0,0,0,0,0.31,0.31,0.31,0.31,-,0.0,0,0,0,0,0,0,0,0.36,0.36,0.36,0.36,-,0,0,0,0,0,0,0,0,2.13,2.13,2.13,2.13,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB KONAWE,0.0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,-,0.0,0,0,0,0,0,0,2.18,2.18,2.18,2.18,2.18,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB KOLAKA,0.0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,0.0,0,0,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA KENDARI,4.95,5.13,5.13,5.13,5.13,5.16,5.07,1.52,1.52,1.52,1.52,1.52,-,5.14,5.14,5.14,5.14,5.14,5.3,4.9,0.21,0.21,0.21,0.21,0.21,-,10.12,10.12,10.12,10.12,10.12,10.12,10.87,1.73,1.73,1.73,1.73,1.73,-,4.06,4.06,4.06,4.06,4.06,4.06,3.03,0.95,0.95,0.95,0.95,0.95,-,0.92,4.11,4.11,4.11,4.11,4.11,13.43,12.4,12.4,12.4,12.4,12.4,-,2024.0
KOTA BAU BAU,1.41,1.41,1.41,1.41,1.41,1.41,1.41,0.42,0.41,0,0,0,-,34.01,34.01,34.01,34.01,34.01,34.01,34.01,7.92,7.92,0,0,0,-,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB GORONTALO,0.0,0,0,0,0,0,0.29,0.29,0.54,0.54,0.54,0.54,-,0.0,0,0,0,0,0,2.4,2.4,2.4,2.4,2.4,2.4,-,0.0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,-,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA GORONTALO,1.2,1.2,1.2,1.2,1.2,1.2,0.41,0.41,0.56,0.56,0.55,0.55,-,3.71,3.71,3.71,3.71,3.71,3.71,1.37,1.37,1.37,1.37,1.37,1.37,-,1.36,1.36,1.36,1.36,1.36,1.36,0.31,0.31,0.31,0.31,0.31,0.31,-,0.17,0.17,0.17,0.17,0.17,0.17,0,0,0.27,0.27,0.27,0.27,-,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.69,1.69,-,2024.0
KAB MAJENE,0.0,0,0,0,0,0,0,0.71,0.71,0.71,0.71,0.71,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
MAMUJU,1.21,1.21,1.21,1.21,1.21,1.21,2.09,4.72,4.72,4.72,4.72,4.72,-,2.86,2.86,2.86,2.86,2.86,2.86,5.76,4.56,4.56,4.56,4.56,4.56,-,0.21,0.21,0.21,0.21,0.21,0.21,0.64,0.57,0.57,0.57,0.57,0.57,-,0.66,0.66,0.66,0.66,0.66,0.66,0.41,7.62,7.62,7.62,7.62,7.62,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB MALUKU TENGAH,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA AMBON,2.35,2.35,2.35,2.45,2.43,2.49,2.45,2.45,1.14,1.15,1.15,1.27,-,8.13,8.13,8.13,8.13,8.13,8.13,7.83,7.83,3.24,3.3,3.3,3.3,-,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,1.3,1.3,1.3,1.3,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2.33,2.33,2.33,3.79,3.52,4.29,4.29,4.29,4.29,4.29,4.29,6,-,2024.0
KOTA TUAL,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB HALMAHERA TENGAH,0.0,0,0,0,0,0,0,1.13,1.18,1.18,1.18,1.18,-,0.0,0,0,0,0,0,0,0,0.23,0.23,0.23,0.23,-,0.0,0,0,0,0,0,0,1.42,1.42,1.42,1.42,1.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA TERNATE,3.05,3.05,3.05,3.05,3.05,3.05,1.87,1.75,1.75,1.75,1.75,1.82,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55,4.28,4.28,4.28,4.28,4.83,-,10.94,10.94,10.94,10.94,10.94,10.94,6.21,0.72,0.72,0.72,0.72,0.72,-,0,0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,-,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,-,2024.0
MANOKWARI,0.16,0.16,0.16,0.16,0.16,0.16,0.16,4.71,4.71,4.54,4.54,4.54,-,0.54,0.54,0.54,0.54,0.54,0.54,0.54,9,9,8.41,8.41,8.41,-,0.0,0,0,0,0,0,0,4.57,4.57,4.57,4.57,4.57,-,0,0,0,0,0,0,0,2.15,2.15,2.15,2.15,2.15,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB SORONG,0.0,0,0,0,0,0,0,0.69,0.69,0.69,0.69,0.69,-,0.0,0,0,0,0,0,0,1.27,1.27,1.27,1.27,1.27,-,0.0,0,0,0,0,0,0,1.72,1.72,1.72,1.72,1.72,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB SORONG SELATAN,0.0,0,0,0,0,0,0,-1.66,-1.66,-1.66,-1.66,-1.66,-,0.0,0,0,0,0,0,0,-7.56,-7.56,-7.56,-7.56,-7.56,-,0.0,0,0,0,0,0,0,1.16,1.16,1.16,1.16,1.16,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA SORONG,-3.27,-3.27,-3.27,-3.27,-3.27,-3.27,-3.27,-0.61,-0.61,-0.61,-0.61,-0.61,-,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,0.24,0.24,0.24,0.24,0.24,-,-4.27,-4.27,-4.27,-4.27,-4.27,-4.27,-4.27,-2.28,-2.28,-2.28,-2.28,-2.28,-,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,0.43,0.43,0.43,0.43,0.43,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA JAYAPURA,7.49,7.49,7.49,7.49,7.49,7.49,-2.12,0.1,0.1,0.1,0.1,0.1,-,0.26,0.26,0.26,0.26,0.26,0.26,3.79,3.79,3.79,3.79,3.79,3.79,-,17.06,17.06,17.06,17.06,17.06,17.06,-7.7,-4.67,-4.67,-4.67,-4.67,-4.67,-,3.19,3.19,3.19,3.19,3.19,3.19,0,3.94,3.94,3.94,3.94,3.94,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
MERAUKE,2.77,2.77,2.77,2.77,2.77,2.03,-2.88,-3.73,-2.36,-2.36,-2.36,-2.36,-,8.23,8.23,8.23,8.23,8.23,5.87,-9.54,-11.82,-17.04,-17.04,-17.04,-17.04,-,0.0,0,0,0,0,0,-0.67,-0.67,0.62,0.62,0.62,0.62,-,0,0,0,0,0,0,0,0,11.11,11.11,11.11,11.11,-,0.76,0.76,0.76,0.76,0.76,0.76,7.38,7.38,7.38,7.38,7.38,7.38,-,2024.0
TIMIKA,0.0,0,0,0,0,0.89,1.02,1.09,1.09,1.09,1.09,1.09,-,0.0,0,0,0,0,2.29,2.73,2.67,2.67,2.67,2.67,2.67,-,0.0,0,0,0,0,0,-0.1,0.14,0.14,0.14,0.14,0.14,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB NABIRE,0.54,0.21,0.21,0.21,0.21,0.21,0.21,1.58,1.96,1.96,1.96,1.96,-,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.83,0.71,0.71,0.71,0.71,-,0.0,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,1.57,3.81,3.81,3.81,3.81,-,0,0,0,0,0,0,0,0.83,1.58,1.58,1.58,1.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB JAYAWIJAYA,0.0,0,0,0,0,0,1.82,1.82,1.82,1.82,1.82,1.82,-,0.0,0,0,0,0,0,2.47,2.47,2.47,2.47,2.47,2.47,-,0.0,0,0,0,0,0,2.15,2.15,2.15,2.15,2.15,2.15,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
INDONESIA,1.57,1.55,1.7,1.72,1.71,1.69,1.9,1.83,1.94,1.9,1.89,1.94,-,1.77,1.76,1.76,1.76,1.75,1.66,2.1,2.68,2.74,2.72,2.72,2.72,-,1.83,1.83,1.83,1.83,1.83,1.83,1.99,1.51,1.53,1.53,1.53,1.68,-,1.08,1.1,1.1,1.1,1.1,1.1,1.22,1.03,1.33,1.36,1.36,1.36,-,2.09,1.95,3.27,3.46,3.38,3.36,3.62,3.62,3.47,3.12,3.09,3.07,-,2024.0
KAB ACEH TENGAH,0.07,0.07,0.28,0.1,0.52,0.79,-,-,-,-,-,-,-,0.18,0.18,0.77,0.26,1.35,2.05,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
MEULABOH,0.03,0.03,0.03,0.03,0.03,0.03,-,-,-,-,-,-,-,0.08,0.08,0.08,0.08,0.08,0.08,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB ACEH TAMIANG,5.14,5.14,5.14,5.14,5.14,5.14,-,-,-,-,-,-,-,2.13,2.13,2.13,2.13,2.13,2.13,-,-,-,-,-,-,-,1.07,1.07,1.07,1.07,1.07,1.07,-,-,-,-,-,-,-,7.81,7.81,7.81,7.81,7.81,7.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA BANDA ACEH,0.58,0.55,0.55,0.55,0.55,0.55,-,-,-,-,-,-,-,2.42,2.42,2.42,2.42,2.42,2.42,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.38,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA LHOKSEUMAWE,3.52,3.52,3.52,3.52,3.52,3.52,-,-,-,-,-,-,-,7.28,7.28,7.28,7.28,7.28,7.28,-,-,-,-,-,-,-,5.96,5.96,5.96,5.96,5.96,5.96,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB LABUHANBATU,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB KARO,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB DELI SERDANG,0.87,0.87,0.87,0.87,0.87,0.87,-,-,-,-,-,-,-,2.63,2.63,2.63,2.63,2.63,2.63,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA SIBOLGA,2.82,2.82,2.82,2.82,2.82,2.82,-,-,-,-,-,-,-,9.84,9.84,9.84,9.84,9.84,9.84,-,-,-,-,-,-,-,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-,-,-,-,-,-,-,6.74,6.74,6.74,6.74,6.74,6.74,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA PEMATANGSIANTAR,3.27,3.27,3.27,3.27,3.27,3.27,-,-,-,-,-,-,-,2.62,2.62,2.62,2.62,2.62,2.62,-,-,-,-,-,-,-,4.09,4.09,4.09,4.09,4.09,4.09,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,8.78,8.78,8.78,8.78,8.78,8.78,-,-,-,-,-,-,-,2025.0
KOTA MEDAN,0.87,0.88,0.88,0.88,0.88,0.88,-,-,-,-,-,-,-,1.82,1.82,1.82,1.82,1.82,1.82,-,-,-,-,-,-,-,1.09,1.13,1.13,1.13,1.13,1.13,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA PADANGSIDIMPUAN,2.35,2.35,2.35,2.35,2.35,2.86,-,-,-,-,-,-,-,1.03,1.03,1.03,1.03,1.03,1.03,-,-,-,-,-,-,-,6.42,6.42,6.42,6.42,6.42,6.42,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,5.73,-,-,-,-,-,-,-,2025.0
KOTA GUNUNGSITOLI,9.51,10.27,10.27,10.27,10.27,12.06,-,-,-,-,-,-,-,4.07,8.06,8.06,8.06,8.06,17.51,-,-,-,-,-,-,-,11.94,11.94,11.94,11.94,11.94,11.94,-,-,-,-,-,-,-,12.52,12.52,12.52,12.52,12.52,12.52,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB DHARMASRAYA,1.08,1.08,1.08,1.08,1.08,1.08,-,-,-,-,-,-,-,4.27,4.27,4.27,4.27,4.27,4.27,-,-,-,-,-,-,-,0.4,0.4,0.4,0.4,0.4,0.4,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB PASAMAN BARAT,1.51,1.51,1.51,1.51,1.51,1.51,-,-,-,-,-,-,-,2.2,2.2,2.2,2.2,2.2,2.2,-,-,-,-,-,-,-,0.06,0.06,0.06,0.06,0.06,0.06,-,-,-,-,-,-,-,2.91,2.91,2.91,2.91,2.91,2.91,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA PADANG,3.53,3.53,3.53,3.53,3.53,3.53,-,-,-,-,-,-,-,2.52,2.52,2.52,2.52,2.52,2.52,-,-,-,-,-,-,-,3.3,3.3,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,5.12,5.12,5.12,5.12,5.12,5.12,-,-,-,-,-,-,-,0.69,0.69,0.69,0.69,0.69,0.69,-,-,-,-,-,-,-,2025.0
KOTA BUKITTINGGI,1.49,1.49,1.49,1.49,1.49,1.54,-,-,-,-,-,-,-,1.56,1.56,1.56,1.56,1.56,1.56,-,-,-,-,-,-,-,1.74,1.74,1.74,1.74,1.74,2.05,-,-,-,-,-,-,-,0.63,0.63,0.63,0.63,0.63,0.63,-,-,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,2025.0
