,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
TEMBILAHAN,2.73,2.73,2.73,2.73,2.73,2.73,-,-,-,-,-,-,-,4.05,4.05,4.05,4.05,4.05,4.05,-,-,-,-,-,-,-,4.26,4.26,4.26,4.26,4.26,4.26,-,-,-,-,-,-,-,1.86,1.86,1.86,1.86,1.86,1.86,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB KAMPAR,1.19,1.19,1.19,1.19,1.19,1.19,-,-,-,-,-,-,-,3.61,3.61,3.61,3.61,3.61,3.61,-,-,-,-,-,-,-,0.06,0.06,0.06,0.06,0.06,0.06,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,6.26,6.26,6.26,6.26,6.26,6.26,-,-,-,-,-,-,-,2025.0
KOTA PEKANBARU,1.86,1.83,1.05,1.05,1.05,1.05,-,-,-,-,-,-,-,1.8,1.8,1.8,1.8,1.8,1.8,-,-,-,-,-,-,-,1.25,1.25,1.25,1.25,1.25,1.25,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,7.85,7.58,1.42,1.42,1.42,1.42,-,-,-,-,-,-,-,2025.0
KOTA DUMAI,1.35,1.35,1.35,1.35,1.35,1.35,-,-,-,-,-,-,-,4.36,4.36,4.36,4.36,4.36,4.36,-,-,-,-,-,-,-,0.14,0.14,0.14,0.14,0.14,0.14,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB KERINCI,0.06,0.06,0.06,0.06,0.06,0.06,-,-,-,-,-,-,-,0.29,0.29,0.29,0.29,0.29,0.29,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
MUARA BUNGO,2.73,2.73,2.73,2.73,2.73,2.73,-,-,-,-,-,-,-,6.99,6.99,6.99,6.99,6.99,6.99,-,-,-,-,-,-,-,2.56,2.56,2.56,2.56,2.56,2.56,-,-,-,-,-,-,-,0.09,0.09,0.09,0.09,0.09,0.09,-,-,-,-,-,-,-,3.35,3.35,3.35,3.35,3.35,3.35,-,-,-,-,-,-,-,2025.0
KOTA JAMBI,0.74,0.74,0.74,0.74,0.74,0.74,-,-,-,-,-,-,-,2.16,2.16,2.16,2.16,2.16,2.16,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.69,0.69,0.69,0.69,0.69,0.69,-,-,-,-,-,-,-,2025.0
KAB OGAN KOMERING ILIR,1.77,1.77,1.77,1.77,1.77,1.77,-,-,-,-,-,-,-,2.07,2.07,2.07,2.07,2.07,2.07,-,-,-,-,-,-,-,5.04,5.04,5.04,5.04,5.04,5.04,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB MUARA ENIM,0.59,0.59,0.59,0.59,0.59,0.59,-,-,-,-,-,-,-,1.11,1.11,1.11,1.11,1.11,1.11,-,-,-,-,-,-,-,1.34,1.34,1.34,1.34,1.34,1.34,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA PALEMBANG,2.0,1.99,1.99,1.99,1.99,1.99,-,-,-,-,-,-,-,4.01,4.01,4.01,4.01,4.01,4.01,-,-,-,-,-,-,-,0.08,0.08,0.08,0.08,0.08,0.08,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,8.17,8.13,8.13,8.13,8.13,8.13,-,-,-,-,-,-,-,2025.0
KOTA LUBUK LINGGAU,1.78,1.78,1.78,1.78,1.78,1.78,-,-,-,-,-,-,-,2.42,2.42,2.42,2.42,2.42,2.42,-,-,-,-,-,-,-,0.31,0.31,0.31,0.31,0.31,0.31,-,-,-,-,-,-,-,1.58,1.58,1.58,1.58,1.58,1.58,-,-,-,-,-,-,-,3.69,3.69,3.69,3.69,3.69,3.69,-,-,-,-,-,-,-,2025.0
KAB MUKO MUKO,2.57,2.57,2.57,2.57,2.57,-17.23,-,-,-,-,-,-,-,13.16,13.16,13.16,13.16,13.16,13.16,-,-,-,-,-,-,-,-1.54,-1.54,-1.54,-1.54,-1.54,-48.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA BENGKULU,1.82,1.82,1.82,1.82,1.82,-7.89,-,-,-,-,-,-,-,1.87,1.87,1.87,1.87,1.87,1.87,-,-,-,-,-,-,-,0.64,0.64,0.64,0.64,0.64,-45.71,-,-,-,-,-,-,-,2.74,2.74,2.74,2.74,2.74,2.74,-,-,-,-,-,-,-,1.34,1.34,1.34,1.34,1.34,1.34,-,-,-,-,-,-,-,2025.0
KAB LAMPUNG TIMUR,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB MESUJI,8.95,8.95,8.95,8.95,8.95,8.95,-,-,-,-,-,-,-,-1.49,-1.49,-1.49,-1.49,-1.49,-1.49,-,-,-,-,-,-,-,21.29,21.29,21.29,21.29,21.29,21.29,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA BANDAR LAMPUNG,7.22,7.22,7.22,7.22,7.22,7.14,-,-,-,-,-,-,-,1.07,1.07,1.07,1.07,1.07,1.07,-,-,-,-,-,-,-,3.45,3.45,3.45,3.45,3.45,3.45,-,-,-,-,-,-,-,16.4,16.4,16.4,16.4,16.4,16.4,-,-,-,-,-,-,-,1.13,1.13,1.13,1.13,1.13,0.44,-,-,-,-,-,-,-,2025.0
KOTA METRO,2.62,2.62,2.62,2.62,2.62,2.62,-,-,-,-,-,-,-,5.59,5.59,5.59,5.59,5.59,5.59,-,-,-,-,-,-,-,2.52,2.52,2.52,2.52,2.52,2.52,-,-,-,-,-,-,-,0.12,0.12,0.12,0.12,0.12,0.12,-,-,-,-,-,-,-,4.97,4.97,4.97,4.97,4.97,4.97,-,-,-,-,-,-,-,2025.0
TANJUNG PANDAN,1.6,1.46,1.46,1.46,1.46,-12.07,-,-,-,-,-,-,-,0.92,0.92,0.92,0.92,0.92,0.92,-,-,-,-,-,-,-,2.32,1.82,1.82,1.82,1.82,-46.48,-,-,-,-,-,-,-,3.16,3.16,3.16,3.16,3.16,3.16,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB BANGKA BARAT,1.05,1.05,1.05,1.05,1.05,-13.46,-,-,-,-,-,-,-,1.77,1.77,1.77,1.77,1.77,1.77,-,-,-,-,-,-,-,0.24,0.24,0.24,0.24,0.24,-51.03,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,3.25,3.25,3.25,3.25,3.25,3.25,-,-,-,-,-,-,-,2025.0
KAB BELITUNG TIMUR,15.31,15.31,15.31,15.31,15.31,-4.2,-,-,-,-,-,-,-,0.88,0.88,0.88,0.88,0.88,0.88,-,-,-,-,-,-,-,0.0,0,0,0,0,-60.17,-,-,-,-,-,-,-,42.86,42.86,42.86,42.86,42.86,42.86,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA PANGKAL PINANG,1.78,1.78,1.78,1.78,1.78,-9.12,-,-,-,-,-,-,-,1.79,1.79,1.79,1.79,1.79,1.79,-,-,-,-,-,-,-,1.58,1.58,1.58,1.58,1.58,-43.9,-,-,-,-,-,-,-,0.09,0.09,0.09,0.09,0.09,0.09,-,-,-,-,-,-,-,2.73,2.73,2.73,2.73,2.73,2.73,-,-,-,-,-,-,-,2025.0
KAB KARIMUN,-7.1,-7.1,-7.1,-7.1,-7.1,-7.1,-,-,-,-,-,-,-,5.03,5.03,5.03,5.03,5.03,5.03,-,-,-,-,-,-,-,-26.81,-26.81,-26.81,-26.81,-26.81,-26.81,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,1.66,1.66,1.66,1.66,1.66,1.66,-,-,-,-,-,-,-,2025.0
KOTA BATAM,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-,-,-,-,-,-,-,0.71,0.71,0.71,0.71,0.71,0.71,-,-,-,-,-,-,-,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-,-,-,-,-,-,-,2.64,2.64,2.64,2.64,2.64,2.64,-,-,-,-,-,-,-,0.89,0.89,0.89,0.89,0.89,0.89,-,-,-,-,-,-,-,2025.0
KOTA TANJUNG PINANG,-2.5,-2.5,-2.5,-2.5,-2.5,-2.14,-,-,-,-,-,-,-,3.75,3.75,3.75,3.75,3.75,3.75,-,-,-,-,-,-,-,-21.8,-21.8,-21.8,-21.8,-21.8,-21.8,-,-,-,-,-,-,-,2.51,2.51,2.51,2.51,2.51,2.51,-,-,-,-,-,-,-,4.49,4.49,4.49,4.49,4.49,5.99,-,-,-,-,-,-,-,2025.0
KOTA JAKARTA,2.55,2.55,2.03,1.96,1.96,2.11,-,-,-,-,-,-,-,3.77,3.77,3.77,3.77,3.77,3.77,-,-,-,-,-,-,-,2.82,2.82,2.82,2.82,2.82,2.82,-,-,-,-,-,-,-,0.43,0.43,0.43,0.43,0.43,0.43,-,-,-,-,-,-,-,8.03,8.03,2.04,1.21,1.21,2.85,-,-,-,-,-,-,-,2025.0
KAB BANDUNG,2.85,2.85,2.85,2.85,2.85,2.85,-,-,-,-,-,-,-,1.98,1.98,1.98,1.98,1.98,1.98,-,-,-,-,-,-,-,3.57,3.57,3.57,3.57,3.57,3.57,-,-,-,-,-,-,-,1.99,1.99,1.99,1.99,1.99,1.99,-,-,-,-,-,-,-,5.14,5.14,5.14,5.14,5.14,5.14,-,-,-,-,-,-,-,2025.0
KAB MAJALENGKA,1.34,1.34,1.34,1.34,1.34,1.34,-,-,-,-,-,-,-,4.78,4.78,4.78,4.78,4.78,4.78,-,-,-,-,-,-,-,0.88,0.88,0.88,0.88,0.88,0.88,-,-,-,-,-,-,-,0.25,0.25,0.25,0.25,0.25,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB SUBANG,0.06,0.06,0.06,0.06,0.06,0.06,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.14,0.14,0.14,0.14,0.14,0.14,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA BOGOR,4.61,4.61,4.61,4.65,4.65,4.65,-,-,-,-,-,-,-,1.52,1.52,1.52,1.52,1.52,1.52,-,-,-,-,-,-,-,6.21,6.21,6.21,6.21,6.21,6.21,-,-,-,-,-,-,-,4.33,4.33,4.33,4.33,4.33,4.33,-,-,-,-,-,-,-,7.06,7.06,7.06,7.47,7.47,7.47,-,-,-,-,-,-,-,2025.0
KOTA SUKABUMI,4.46,4.46,4.46,4.46,4.46,4.46,-,-,-,-,-,-,-,1.65,1.65,1.65,1.65,1.65,1.65,-,-,-,-,-,-,-,0.59,0.59,0.59,0.59,0.59,0.59,-,-,-,-,-,-,-,9.11,9.11,9.11,9.11,9.11,9.11,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA BANDUNG,0.93,0.93,0.92,0.92,0.92,0.92,-,-,-,-,-,-,-,1.58,1.58,1.58,1.58,1.58,1.58,-,-,-,-,-,-,-,1.56,1.56,1.56,1.56,1.56,1.56,-,-,-,-,-,-,-,0.64,0.64,0.64,0.64,0.64,0.64,-,-,-,-,-,-,-,0.29,0.29,0.15,0.15,0.1,0.1,-,-,-,-,-,-,-,2025.0
KOTA CIREBON,1.8,1.8,2.27,2.27,2.27,2.27,-,-,-,-,-,-,-,1.17,1.17,3.03,3.03,3.03,3.03,-,-,-,-,-,-,-,0.23,0.23,0.23,0.23,0.23,0.23,-,-,-,-,-,-,-,2.91,2.91,2.91,2.91,2.91,2.91,-,-,-,-,-,-,-,3.43,3.43,3.43,3.43,3.43,3.43,-,-,-,-,-,-,-,2025.0
KOTA BEKASI,3.09,3.09,3.09,3.09,3.09,3.09,-,-,-,-,-,-,-,2.39,2.39,2.39,2.39,2.39,2.39,-,-,-,-,-,-,-,4.36,4.36,4.36,4.36,4.36,4.36,-,-,-,-,-,-,-,3.02,3.02,3.02,3.02,3.02,3.02,-,-,-,-,-,-,-,1.3,1.3,1.3,1.3,1.3,1.3,-,-,-,-,-,-,-,2025.0
KOTA DEPOK,2.49,2.49,2.49,2.49,2.49,2.49,-,-,-,-,-,-,-,2.62,2.62,2.62,2.62,2.62,2.62,-,-,-,-,-,-,-,0.38,0.38,0.38,0.38,0.38,0.38,-,-,-,-,-,-,-,0.88,0.88,0.88,0.88,0.88,0.88,-,-,-,-,-,-,-,14.54,14.54,14.54,14.54,14.54,14.54,-,-,-,-,-,-,-,2025.0
KOTA TASIKMALAYA,3.59,3.59,3.59,3.59,3.59,3.59,-,-,-,-,-,-,-,3.24,3.24,3.24,3.24,3.24,3.24,-,-,-,-,-,-,-,0.57,0.57,0.57,0.57,0.57,0.57,-,-,-,-,-,-,-,0.51,0.51,0.51,0.51,0.51,0.51,-,-,-,-,-,-,-,15.65,15.65,15.65,15.65,15.65,15.65,-,-,-,-,-,-,-,2025.0
CILACAP,1.78,1.78,1.78,1.78,1.78,1.78,-,-,-,-,-,-,-,4.05,4.05,4.05,4.05,4.05,4.05,-,-,-,-,-,-,-,1.22,1.22,1.22,1.22,1.22,1.22,-,-,-,-,-,-,-,0.05,0.05,0.05,0.05,0.05,0.05,-,-,-,-,-,-,-,4.52,4.52,4.52,4.52,4.52,4.52,-,-,-,-,-,-,-,2025.0
PURWOKERTO,1.45,1.44,1.44,1.44,1.44,1.44,-,-,-,-,-,-,-,0.79,0.79,0.79,0.79,0.79,0.79,-,-,-,-,-,-,-,0.65,0.65,0.65,0.65,0.65,0.65,-,-,-,-,-,-,-,1.98,1.98,1.98,1.98,1.98,1.98,-,-,-,-,-,-,-,3.21,3.16,3.16,3.16,3.16,3.16,-,-,-,-,-,-,-,2025.0
KAB WONOSOBO,1.38,1.39,1.39,1.39,1.37,1.37,-,-,-,-,-,-,-,1.15,1.15,1.15,1.15,1.15,1.15,-,-,-,-,-,-,-,3.25,3.25,3.25,3.25,3.25,3.25,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.51,0.57,0.57,0.57,0.49,0.49,-,-,-,-,-,-,-,2025.0
KAB WONOGIRI,2.34,2.34,2.34,2.34,2.34,2.34,-,-,-,-,-,-,-,2.17,2.17,2.17,2.17,2.17,2.17,-,-,-,-,-,-,-,1.04,1.04,1.04,1.04,1.04,1.04,-,-,-,-,-,-,-,3.52,3.52,3.52,3.52,3.52,3.52,-,-,-,-,-,-,-,4.53,4.53,4.53,4.53,4.53,4.53,-,-,-,-,-,-,-,2025.0
KAB REMBANG,2.69,2.65,2.65,2.65,2.65,2.65,-,-,-,-,-,-,-,5.02,5.02,5.02,5.02,5.02,5.02,-,-,-,-,-,-,-,0.03,0.03,0.03,0.03,0.03,0.03,-,-,-,-,-,-,-,3.91,3.91,3.91,3.91,3.91,3.91,-,-,-,-,-,-,-,0.97,0.32,0.32,0.32,0.32,0.32,-,-,-,-,-,-,-,2025.0
KUDUS,2.93,2.93,2.93,2.93,2.93,2.93,-,-,-,-,-,-,-,7.34,7.34,7.34,7.34,7.34,7.34,-,-,-,-,-,-,-,0.31,0.31,0.31,0.31,0.31,0.31,-,-,-,-,-,-,-,1.31,1.31,1.31,1.31,1.31,1.31,-,-,-,-,-,-,-,4.43,4.43,4.43,4.43,4.43,4.43,-,-,-,-,-,-,-,2025.0
KOTA SURAKARTA,3.46,3.46,3.46,3.46,3.58,3.58,-,-,-,-,-,-,-,3.72,3.72,3.72,3.72,3.72,3.72,-,-,-,-,-,-,-,1.94,1.94,1.94,1.94,1.94,1.94,-,-,-,-,-,-,-,4.79,4.79,4.79,4.79,4.79,4.79,-,-,-,-,-,-,-,2.31,2.31,2.31,2.31,3.69,3.69,-,-,-,-,-,-,-,2025.0
KOTA SEMARANG,0.83,0.83,0.83,0.83,0.83,0.83,-,-,-,-,-,-,-,0.57,0.57,0.57,0.57,0.57,0.57,-,-,-,-,-,-,-,0.74,0.74,0.74,0.74,0.74,0.74,-,-,-,-,-,-,-,1.4,1.4,1.4,1.4,1.4,1.4,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA TEGAL,5.46,5.52,4.3,4.51,4.71,4.78,-,-,-,-,-,-,-,3.57,3.57,3.57,3.57,3.57,3.57,-,-,-,-,-,-,-,4.25,4.25,4.25,4.25,4.25,4.25,-,-,-,-,-,-,-,10.04,10.04,6.03,6.03,6.03,6.03,-,-,-,-,-,-,-,0.95,1.51,1.51,3.09,4.69,5.15,-,-,-,-,-,-,-,2025.0
KAB GUNUNGKIDUL,1.38,1.38,1.38,1.38,1.38,1.38,-,-,-,-,-,-,-,1.42,1.42,1.42,1.42,1.42,1.42,-,-,-,-,-,-,-,2.32,2.32,2.32,2.32,2.32,2.32,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,3.88,3.88,3.88,3.88,3.88,3.88,-,-,-,-,-,-,-,2025.0
KOTA YOGYAKARTA,1.26,1.33,1.33,1.33,1.35,1.35,-,-,-,-,-,-,-,3.33,3.63,3.63,3.63,3.63,3.63,-,-,-,-,-,-,-,1.36,1.36,1.36,1.36,1.36,1.36,-,-,-,-,-,-,-,0.18,0.18,0.18,0.18,0.18,0.18,-,-,-,-,-,-,-,0.61,0.61,0.61,0.61,0.9,0.9,-,-,-,-,-,-,-,2025.0
KAB TULUNGAGUNG,0.87,0.87,0.87,0.87,0.87,0.87,-,-,-,-,-,-,-,2.16,2.16,2.16,2.16,2.16,2.16,-,-,-,-,-,-,-,0.65,0.65,0.65,0.65,0.65,0.65,-,-,-,-,-,-,-,0.39,0.39,0.39,0.39,0.39,0.39,-,-,-,-,-,-,-,0.58,0.58,0.58,0.58,0.58,0.58,-,-,-,-,-,-,-,2025.0
JEMBER,0.85,0.85,0.85,0.49,0.49,0.49,-,-,-,-,-,-,-,0.29,0.29,0.29,0.29,0.29,0.29,-,-,-,-,-,-,-,1.87,1.87,1.87,1.87,1.87,1.87,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,5.48,5.48,5.48,0.56,0.56,0.56,-,-,-,-,-,-,-,2025.0
BANYUWANGI,2.91,2.91,2.91,2.91,2.91,2.91,-,-,-,-,-,-,-,1.8,1.8,1.8,1.8,1.8,1.8,-,-,-,-,-,-,-,2.38,2.38,2.38,2.38,2.38,2.38,-,-,-,-,-,-,-,5.22,5.22,5.22,5.22,5.22,5.22,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB BOJONEGORO,2.37,1.74,1.74,1.74,1.58,1.58,-,-,-,-,-,-,-,5.34,5.34,5.34,5.34,5.34,5.34,-,-,-,-,-,-,-,1.14,1.14,1.14,1.14,1.14,1.14,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,8.28,3.9,3.9,3.9,2.84,2.84,-,-,-,-,-,-,-,2025.0
KAB GRESIK,2.65,2.55,2.55,2.48,2.48,2.48,-,-,-,-,-,-,-,4.69,4.69,4.69,4.69,4.69,4.69,-,-,-,-,-,-,-,0.89,0.89,0.89,0.89,0.89,0.89,-,-,-,-,-,-,-,2.37,2.37,2.37,2.37,2.37,2.37,-,-,-,-,-,-,-,3.03,2.35,2.35,1.91,1.91,1.91,-,-,-,-,-,-,-,2025.0
SUMENEP,1.7,1.7,1.7,1.7,1.7,1.7,-,-,-,-,-,-,-,5.38,5.38,5.38,5.38,5.38,5.38,-,-,-,-,-,-,-,1.59,1.59,1.59,1.59,1.59,1.59,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-,-,-,-,2025.0
KOTA KEDIRI,1.98,1.98,1.98,1.98,1.91,1.91,-,-,-,-,-,-,-,1.19,1.19,1.19,1.19,1.19,1.19,-,-,-,-,-,-,-,0.93,0.93,0.93,0.93,0.93,0.93,-,-,-,-,-,-,-,3.7,3.7,3.7,3.7,3.7,3.7,-,-,-,-,-,-,-,0.46,0.46,0.46,0.46,0,0,-,-,-,-,-,-,-,2025.0
KOTA MALANG,1.21,1.21,1.21,1.21,1.21,1.21,-,-,-,-,-,-,-,1.98,1.98,1.98,1.98,1.98,1.98,-,-,-,-,-,-,-,0.55,0.55,0.55,0.55,0.55,0.55,-,-,-,-,-,-,-,1.33,1.33,1.33,1.33,1.33,1.33,-,-,-,-,-,-,-,0.04,0.04,0.04,0.04,0.04,0.04,-,-,-,-,-,-,-,2025.0
KOTA PROBOLINGGO,2.71,2.71,2.71,2.71,2.71,2.71,-,-,-,-,-,-,-,3.77,3.77,3.77,3.77,3.77,3.77,-,-,-,-,-,-,-,0.21,0.21,0.21,0.21,0.21,0.21,-,-,-,-,-,-,-,4.52,4.52,4.52,4.52,4.52,4.52,-,-,-,-,-,-,-,0.09,0.09,0.09,0.09,0.09,0.09,-,-,-,-,-,-,-,2025.0
KOTA MADIUN,0.83,0.83,0.83,0.8,0.8,0.71,-,-,-,-,-,-,-,0.91,0.91,0.91,0.91,0.91,0.62,-,-,-,-,-,-,-,0.46,0.46,0.46,0.46,0.46,0.46,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2.2,2.2,2.2,2.05,2.05,2.05,-,-,-,-,-,-,-,2025.0
KOTA SURABAYA,1.3,1.3,1.3,1.3,1.3,1.32,-,-,-,-,-,-,-,3.12,3.12,3.12,3.12,3.12,3.12,-,-,-,-,-,-,-,1.77,1.77,1.77,1.77,1.77,1.77,-,-,-,-,-,-,-,0.08,0.08,0.08,0.08,0.08,0.08,-,-,-,-,-,-,-,0.42,0.42,0.42,0.42,0.42,0.6,-,-,-,-,-,-,-,2025.0
KAB PANDEGLANG,1.34,1.34,1.34,1.34,1.34,1.34,-,-,-,-,-,-,-,4.24,4.24,4.24,4.24,4.24,4.24,-,-,-,-,-,-,-,0.25,0.25,0.25,0.25,0.25,0.25,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB LEBAK,2.88,2.88,2.88,2.88,2.88,2.88,-,-,-,-,-,-,-,6.5,6.5,6.5,6.5,6.5,6.5,-,-,-,-,-,-,-,1.38,1.38,1.38,1.38,1.38,1.38,-,-,-,-,-,-,-,3.08,3.08,3.08,3.08,3.08,3.08,-,-,-,-,-,-,-,0.26,0.26,0.26,0.26,0.26,0.26,-,-,-,-,-,-,-,2025.0
KOTA TANGERANG,1.61,1.61,1.01,1.01,1.01,1.01,-,-,-,-,-,-,-,0.64,0.64,0.64,0.64,0.64,0.64,-,-,-,-,-,-,-,2.85,2.85,2.85,2.85,2.85,2.85,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,4.96,4.96,0.57,0.57,0.57,0.57,-,-,-,-,-,-,-,2025.0
KOTA CILEGON,1.57,1.57,1.57,1.57,1.57,1.57,-,-,-,-,-,-,-,5.41,5.41,5.41,5.41,5.41,5.41,-,-,-,-,-,-,-,0.87,0.87,0.87,0.87,0.87,0.87,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,1.08,1.08,1.08,1.08,1.08,1.08,-,-,-,-,-,-,-,2025.0
KOTA SERANG,1.12,1.41,1.38,1.38,1.38,1.33,-,-,-,-,-,-,-,0.48,0.48,0.37,0.37,0.37,0.37,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,7.83,10.15,10.15,10.15,10.15,9.73,-,-,-,-,-,-,-,2025.0
KAB TABANAN,2.72,2.72,2.72,2.72,2.72,2.72,-,-,-,-,-,-,-,8.41,8.41,8.41,8.41,8.41,8.41,-,-,-,-,-,-,-,1.85,1.85,1.85,1.85,1.85,1.85,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,8.3,8.3,8.3,8.3,8.3,8.3,-,-,-,-,-,-,-,2025.0
KAB BADUNG,2.01,2.01,2.01,2.01,2.01,2.01,-,-,-,-,-,-,-,6.1,6.1,6.1,6.1,6.1,6.1,-,-,-,-,-,-,-,1.66,1.66,1.66,1.66,1.66,1.66,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-,-,-,-,2025.0
